no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,CNTM45224,大美·明湖,活动,icardyou,a^o^b,China,上海,5/24/2021 22:49,5/31/2021 13:13,济南 大明湖 景点,https://icardyou.icu/sendpostcard/postcardDetail/1140817,https://icardyou.icu/userInfo/homePage?userId=36648
,CNHA3261,物是人非的景色里最喜欢你,活动,icardyou,fanafan,China,河南,5/20/2021 10:57,5/31/2021 13:20,信的恋人,https://icardyou.icu/sendpostcard/postcardDetail/1139618,https://icardyou.icu/userInfo/homePage?userId=39180
,CNHA3260,物是人非的景色里最喜欢你,赠送,icardyou,fanafan,China,河南,5/20/2021 10:59,5/31/2021 13:22,信的恋人,https://icardyou.icu/sendpostcard/postcardDetail/1139614,https://icardyou.icu/userInfo/homePage?userId=39180
,DE-10528693,,MATCH,POSTCROSSING,Typewriter-Collector,Germany,,23/May/2021,6/Jun/2021,,https://www.postcrossing.com/postcards/DE-10528693,https://www.postcrossing.com/user/Typewriter-Collector
,DE-10529289,,MATCH,POSTCROSSING,a-card-4-U,Germany,,24/May/2021,6/Jun/2021,,https://www.postcrossing.com/postcards/DE-10529289,https://www.postcrossing.com/user/a-card-4-U
,DE-10531029,,MATCH,POSTCROSSING,azuka,Germany,,24/May/2021,6/Jun/2021,,https://www.postcrossing.com/postcards/DE-10531029,https://www.postcrossing.com/user/azuka
,NL-4960628,,MATCH,POSTCROSSING,KimmyR,Netherlands,,22/May/2021,6/Jun/2021,,https://www.postcrossing.com/postcards/NL-4960628,https://www.postcrossing.com/user/KimmyR
,NL-4961427,,MATCH,POSTCROSSING,utHan,Netherlands,,23/May/2021,6/Jun/2021,,https://www.postcrossing.com/postcards/NL-4961427,https://www.postcrossing.com/user/utHan
,CNSD10496,你好喵星人,活动,icardyou,金大嗓,China,山东,5/26/2021 12:44,6/6/2021 12:46,猫 猫的天空之城,https://icardyou.icu/sendpostcard/postcardDetail/1139590,https://icardyou.icu/userInfo/homePage?userId=38852
,NL-4960894,,MATCH,POSTCROSSING,Forestchapel80,Netherlands,,23/May/2021,7/Jun/2021,,https://www.postcrossing.com/postcards/NL-4960894,https://www.postcrossing.com/user/Forestchapel80
,CNLN6119,沈阳市太原街盛京主题邮局,活动,icardyou,小乔朋友（摆烂版,China,辽宁,5/21/2021 23:44,6/7/2021 10:24,沈阳 邮局,https://icardyou.icu/sendpostcard/postcardDetail/1139369,https://icardyou.icu/userInfo/homePage?userId=38780
,FI-3949943,,MATCH,POSTCROSSING,Maake,Finland,,24/May/2021,14/Jun/2021,,https://www.postcrossing.com/postcards/FI-3949943,https://www.postcrossing.com/user/Maake
,DE-10523837,,MATCH,POSTCROSSING,Kampfhamster79,Germany,,22/May/2021,14/Jun/2021,,https://www.postcrossing.com/postcards/DE-10523837,https://www.postcrossing.com/user/Kampfhamster79
,FI-3949256,,MATCH,POSTCROSSING,seannis,Finland,,23/May/2021,14/Jun/2021,,https://www.postcrossing.com/postcards/FI-3949256,https://www.postcrossing.com/user/seannis
,DE-10528683,,MATCH,POSTCROSSING,angi24,Germany,,23/May/2021,14/Jun/2021,,https://www.postcrossing.com/postcards/DE-10528683,https://www.postcrossing.com/user/angi24
,CNJS14985,世上湖山，天下常熟,赠送,icardyou,Steve,China,江苏,6/8/2021 15:57,6/14/2021 10:11,常熟,https://icardyou.icu/sendpostcard/postcardDetail/1142539,https://icardyou.icu/userInfo/homePage?userId=1910
,GB-1392740,,MATCH,POSTCROSSING,HarryVedge,U.K.,,22/May/2021,18/Jun/2021,,https://www.postcrossing.com/postcards/GB-1392740,https://www.postcrossing.com/user/HarryVedge
,US-7587383,,MATCH,POSTCROSSING,candisk,U.S.A.,,23/May/2021,18/Jun/2021,,https://www.postcrossing.com/postcards/US-7587383,https://www.postcrossing.com/user/candisk
,US-7585662,,MATCH,POSTCROSSING,ezredax,U.S.A.,,22/May/2021,20/Jun/2021,,https://www.postcrossing.com/postcards/US-7585662,https://www.postcrossing.com/user/ezredax
,RU-8500596,,MATCH,POSTCROSSING,SwetkaSwetik,Russia,,23/May/2021,20/Jun/2021,,https://www.postcrossing.com/postcards/RU-8500596,https://www.postcrossing.com/user/SwetkaSwetik
,CNJS15048,东京塔,活动,icardyou,Steve,China,江苏,6/18/2021 15:14,6/22/2021 10:00,日本 东京塔 插画 景点,https://icardyou.icu/sendpostcard/postcardDetail/1143855,https://icardyou.icu/userInfo/homePage?userId=1910
